timestamp,post,coordinates,latitude,longitude,country,region
2025-01-14,"Наши друзі з Сил Безпілотних Систем передали вітання казанській кущовій базі зрідженого газу Локація: казань, т.зв.росія оператор - `55.8794376,48.9811727` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/55.8794376/48.9811727)","55.8794376,48.9811727",55.8794376,48.9811727,Russia,Tatarstan
2025-01-14,"СОУ повторно уразили комбінат ""Крісталл"" росрєзєрва Локація: енгельс, т.зв.росія [Джерело](https://t.me/army_14reg/220) оператор - `51.4589168,46.1077126` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/51.4589168/46.1077126)","51.4589168,46.1077126",51.4589168,46.1077126,Russia,Saratov Oblast
2025-01-14,"Добрі БПЛА уразили саратовський НПЗ Локація: саратов, т.зв.росія оператор - `51.4458840,45.9307358` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/51.4458840/45.9307358)","51.4458840,45.9307358",51.445884,45.9307358,Russia,Saratov Oblast
2025-01-13,"Очевидці фільмують масований удар по Брянському хімічному заводу Локація: м. Сєльцо, Брянська область, росія оператор А - `53.372698, 34.101544` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/53.372698/34.101544) оператор Б - `53.368527, 34.104238` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/53.368527/34.104238)","53.372698, 34.101544",53.372698,34.101544,Russia,Bryansk Oblast
2025-01-10,"🔥За нашою інформацією [удар](https://t.me/GeneralStaffZSU/19901) по пункту управління 3-го армійського корпусу зс рф в Світлодарську було завдано за даними координатами - [48.435522,38.213416](https://cyber-boroshno.com.ua/#15/48.435522/38.213416). __08 серпня 2022 року поруч з цим місцем було завдано удару по готелю ""Донбас"" в якому сиділи ""вагнера"".__","48.435522,38.213416",48.435522,38.213416,Ukraine,Donetsk Oblast
2025-01-09,"08.01.2025 Сили Оборони України уразили КП 8 ЗВА Локація: Харцизьк, Донецька область __Даний об'єкт в різні часові проміжки прикривали ТОР-М2 та Бук-М3. Не допомогло.__ [Джерело](https://t.me/GeneralStaffZSU/19859) `48.045715, 38.107131` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/48.045715/38.107131)","48.045715, 38.107131",48.045715,38.107131,Ukraine,Donetsk Oblast
2025-01-08,"✈️🔥🛢 **Добрі дрони сьогодні вночі вразили нафтобазу в місті Енгельс Саратовської області** 🗣Атака відбулась після третьої ночі, (GMT+4), традиційно всі офіційні ЗМІ РФ відпрацьовують методички та ретранслюють заяви очільника Саратовської області Бурсагіна Романа про високоточні «Уламки». Геолоковані кадри свідчать про сильну пожежу поблизу завантажувально-розвантажувального терміналf нафтобази. В цілому місцеві нарахували більше 25 «бавовни» 💥. 🗺Координати: `51.436313, 46.088427` 📍 [Google maps](https://maps.app.goo.gl/5DtL8dATo7ToV2T2A) 🚀[Підписатися](https://t.me/cricket404_team) | [Зв'язок та співпраця](https://t.me/cricket404)","51.436313, 46.088427",51.436313,46.088427,Russia,Saratov Oblast
2025-01-06,"Після ракетної безпеки в Камєнск-Шахтінскому стовп диму в районі складів військово-технічного майна Локація: Камєнск-Шахтінскій, Ростовська область __Ці склади поєднані з виробничим майданчиком ФКП ""Комбінат ""Камєнскій"", що було атаковано ракетами Storm Shadow 18.12.2024__[__[1]__](https://t.me/kiber_boroshno/10834)[__[2]__](https://t.me/kiber_boroshno/10847) __Також дані об'єкти прикриває ЗРК ""С-400"".__ оператор - `48.311633, 40.287568` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/48.311633/40.287568) район влучання - `48.288274, 40.203356` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/48.288274/40.203356)","48.311633, 40.287568",48.311633,40.287568,Russia,Rostov Oblast
2025-01-06,"В результаті [удару](https://t.me/DniproOfficial/5488?single) по аеродрому ""Міллєрово"" в ніч на 24 грудня, імовірно, було уражено технічний пост за даними координатами - [48.952840, 40.306560](https://cyber-boroshno.com.ua/#15/48.952840/40.306560).","48.952840, 40.306560",48.95284,40.30656,Russia,Rostov Oblast
2025-01-04,"Добрі дрони наносять ураження по комплексу із фракціонування та перевалки стабільного газового конденсату в порту Усть-Луга Локація: ООО ""Новатек-Усть-Луга"" оператор - `59.717866,28.435044` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/59.717866/28.435044) район ураження - `59.713853,28.435310` 🇺🇦 [CyberBoroshnoMap](https://cyber-boroshno.com.ua/#15/59.713853/28.435310)","59.717866,28.435044",59.717866,28.435044,Russia,Leningrad Oblast
